timestamp,safety_switch_available,safety_off,override_available,override_enabled
6657114,1,1,0,0
7697163,1,1,0,0
8697733,1,1,0,0
9699247,1,1,0,0
10697204,1,1,0,0
11687831,1,1,0,0
12692941,1,1,0,0
13701290,1,1,0,0
14684798,1,1,0,0
15688899,1,1,0,0
16690807,1,1,0,0
17691236,1,1,0,0
18698419,1,1,0,0
19697980,1,1,0,0
20702490,1,1,0,0
21705231,1,1,0,0
22705717,1,1,0,0
23712159,1,1,0,0
24710081,1,1,0,0
25701679,1,1,0,0
26711270,1,1,0,0
27701681,1,1,0,0
28720097,1,1,0,0
29720815,1,1,0,0
30722563,1,1,0,0
31720663,1,1,0,0
32720174,1,1,0,0
33731239,1,1,0,0
34711259,1,1,0,0
35713767,1,1,0,0
36720162,1,1,0,0
37730050,1,1,0,0
38725711,1,1,0,0
39736859,1,1,0,0
40733221,1,1,0,0
41738502,1,1,0,0
42723381,1,1,0,0
43732087,1,1,0,0
44734637,1,1,0,0
45733713,1,1,0,0
46739028,1,1,0,0
47736809,1,1,0,0
48737313,1,1,0,0
49753976,1,1,0,0
50736816,1,1,0,0
51745195,1,1,0,0
52746520,1,1,0,0
53761427,1,1,0,0
54756059,1,1,0,0
55766575,1,1,0,0
56767421,1,1,0,0
57769063,1,1,0,0
58767582,1,1,0,0
59756484,1,1,0,0
60768975,1,1,0,0
61751266,1,1,0,0
62765293,1,1,0,0
63764100,1,1,0,0
64765671,1,1,0,0
65768108,1,1,0,0
66761635,1,1,0,0
67760019,1,1,0,0
68769722,1,1,0,0
69774615,1,1,0,0
70770054,1,1,0,0
71774037,1,1,0,0
72772384,1,1,0,0
73770401,1,1,0,0
74771965,1,1,0,0
75792121,1,1,0,0
76776117,1,1,0,0
77790681,1,1,0,0
78796467,1,1,0,0
79777675,1,1,0,0
80776799,1,1,0,0
81798386,1,1,0,0
82793763,1,1,0,0
83798572,1,1,0,0
84794437,1,1,0,0
85789653,1,1,0,0
86789667,1,1,0,0
87803203,1,1,0,0
88802454,1,1,0,0
89807228,1,1,0,0
90799248,1,1,0,0
91796805,1,1,0,0
92797999,1,1,0,0
93794566,1,1,0,0
94799270,1,1,0,0
95802624,1,1,0,0
96811663,1,1,0,0
97813746,1,1,0,0
98817866,1,1,0,0
99823832,1,1,0,0
100823365,1,1,0,0
101810476,1,1,0,0
102812882,1,1,0,0
103818415,1,1,0,0
104824073,1,1,0,0
105821749,1,1,0,0
106817746,1,1,0,0
107821778,1,1,0,0
108821274,1,1,0,0
109823206,1,1,0,0
110834915,1,1,0,0
111833635,1,1,0,0
112831025,1,1,0,0
113836232,1,1,0,0
114838633,1,1,0,0
115838755,1,1,0,0
116832933,1,1,0,0
117837210,1,1,0,0
118842777,1,1,0,0
119837630,1,1,0,0
120844115,1,1,0,0
121848066,1,1,0,0
122856968,1,1,0,0
123850421,1,1,0,0
124844177,1,1,0,0
125864158,1,1,0,0
126865185,1,1,0,0
127863304,1,1,0,0
128858429,1,1,0,0
129858441,1,1,0,0
130867278,1,1,0,0
131870227,1,1,0,0
132869791,1,1,0,0
133871421,1,1,0,0
134875039,1,1,0,0
135872791,1,1,0,0
136877637,1,1,0,0
137879194,1,1,0,0
138872156,1,1,0,0
139872112,1,1,0,0
140872922,1,1,0,0
141869766,1,1,0,0
142878423,1,1,0,0
143870441,1,1,0,0
144884181,1,1,0,0
145880913,1,1,0,0
146886525,1,1,0,0
147879297,1,1,0,0
148887212,1,1,0,0
149891664,1,1,0,0
150882466,1,1,0,0
